"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gad2",0,5.7507150289652,0.86,0.051,0
"Erbb4",0,5.40743733930214,0.982,0.194,0
"Gad1",0,5.49594702760866,0.801,0.058,0
"Maf",0,3.33463253436042,0.82,0.094,0
"Dlx6os1",0,6.12855300152542,0.743,0.018,0
"Zfp536",0,3.08996390816649,0.828,0.156,0
"Sox2ot",0,3.01406976545158,0.895,0.232,0
"Nxph1",0,4.774589493613,0.791,0.139,0
"Slc6a1",0,2.77135873487104,0.824,0.186,0
"Dlx1as",0,4.44169341229527,0.692,0.074,0
"Kcnip1",0,3.74989693679901,0.729,0.113,0
"Satb2",0,-5.25706857152312,0.108,0.686,0
"Grik1",0,4.0695362841611,0.76,0.197,0
"Cacna2d1",0,-2.65291777755683,0.267,0.819,0
"Rbms3",0,3.25660857294687,0.895,0.347,0
"Npas3",0,1.88159726587163,0.908,0.36,0
"Ptprk",0,-3.39595855604211,0.212,0.752,0
"Kcnc2",0,4.38753659135976,0.844,0.31,0
"Meis2",0,-2.9546659920815,0.119,0.648,0
"Ubash3b",0,2.38625428348129,0.75,0.228,0
"Dlx1",0,4.71630684657108,0.527,0.021,0
"Kcnmb2",0,2.97816069195512,0.738,0.233,0
"Arx",0,4.21538584029043,0.543,0.038,0
"Nhs",0,2.94617018419008,0.621,0.118,0
"Ptprm",0,2.60130722040012,0.756,0.261,0
"Btbd11",0,3.26083469150366,0.584,0.098,0
"Dscaml1",0,1.92165927860673,0.932,0.454,0
"Sox6",0,1.82779837825889,0.699,0.222,0
"Cntnap3",0,5.17919969453361,0.505,0.033,0
"Slc32a1",0,4.96945803355345,0.491,0.028,0
"Gm38505",0,3.5472943525932,0.519,0.057,0
"Lhx6",0,6.47605910641831,0.469,0.009,0
"Arpp21",0,-3.81542294573757,0.318,0.776,0
"Cntnap5c",0,3.93687497438349,0.578,0.121,0
"9130024F11Rik",0,-3.86124723346167,0.057,0.508,0
"Nfix",0,-1.41362765392513,0.365,0.798,0
"Rasgef1b",0,-2.81535690722434,0.203,0.636,0
"Zbtb18",0,-2.33828566285978,0.21,0.637,0
"Ptchd4",0,2.63130599197967,0.713,0.286,0
"Gm14204",0,6.14409411409732,0.431,0.008,0
"Nckap5",0,-3.09781911389731,0.204,0.626,0
"Neurod2",0,-3.39798906983251,0.058,0.475,0
"Nell1",0,2.36063542848422,0.613,0.198,0
"Gm49678",0,-4.23723540300882,0.093,0.503,0
"Galntl6",0,3.59391363568741,0.809,0.4,0
"Dlgap2",0,2.03286878417323,0.924,0.518,0
"Neurod6",0,-2.67067026532098,0.143,0.54,0
"Nfia",0,-2.60111755655202,0.255,0.643,0
"Sv2b",0,-4.12549246078634,0.09,0.475,0
"Afap1",0,1.87114023656704,0.644,0.261,0
"Mafb",0,3.33081202499456,0.433,0.054,0
"Ldb2",0,-2.69355351051054,0.254,0.623,0
